83.9,104.9
104.9,559.2
840.22
0
97.22,129.78,486.4
129.78,486.4,778.56
778.56,843.33
0
85.56,95.1
570.89
856.44
0
97.33
778.56
227.2,778.56,876.22
227.2
129.78
129.78,700.78,778.56
700.78,778.56,876.22
0
