117.0
117.0,584.38,613.7
613.7,876.38
0
126.9
126.9,152.2,571.0,684.88
152.2,684.88
0
0
584.38,613.7,701.0
613.7,701.0,876.38
0
120.0
120.0,153.6,548.62,640.0
153.6,640.0
0
120.2
120.2,153.0,561.62
153.0,841.88
0
0
159.3,584.38,701.25
159.3,701.25,876.38
0
