445.8
445.8,579.56,643.89
263.5,643.89
263.5
500.7
500.7,700.78,778.89
700.78,778.89,876.22
0
0
570.89
263.5,856.44
263.5,326.3
100.8,504.2
100.8,504.2
840.22
315.0
120.0,504.0
120.0,504.0
252.0,840.22
252.0,315.0
129.78
129.78,563.0
281.3,843.22
281.3
0
563.0
281.3,843.33
281.3,422.3
81.5
162.6,650.56
162.6,650.56
326.3
102.0
102.0,530.2,570.89
0
326.3
504.2
504.2
231.0,252.0
231.0,252.0,294.1
