107.0
107.0,533.2,640.0,746.8
640.0,746.8
0
108.4
108.4,650.6,732.0
650.6,732.0
325.5
81.3,108.4
108.4,596.5,650.6
596.5,650.6
0
100.1
100.1,550.0,599.9,649.9
599.9,649.9
0
81.3,101.6,108.4
101.6,108.4,650.3
650.3
0
