97.8,122.2
97.8,122.2,782.11
782.11
325.8
78.3,83.5,104.3
104.3,627.33
627.33
0
80.7,99.3
99.3,545.22,727.78
727.78
0
81.3,90.3,101.6,108.4
101.6,108.4
0
325.33
82.4,123.7
123.7,742.0
742.0,989.44
989.44
92.1,102.3,461.0
102.3,461.0,690.33
690.33
0
