469.0
469.0,547.0,656.44
656.44
1639.44
0
668.17,723.83
668.17,723.83
1447.67,1579.44
0
579.0
0
1447.67,1579.44,1654.67
0
558.33,768.0
768.0
1535.22,1675.11
