488.5
488.5,621.5,683.7
621.5,683.7
1710.25
109.4
109.4,182.1,546.25,728.5
182.1,728.5
0
0
150.7,645.75
150.7,645.75,904.75
323.1,904.75
71.8,107.7,484.25
107.7,484.25,645.75,753.25
645.75,753.25
323.1
103.1
103.1,160.4,618.75,722.25
160.4,618.75,722.25
0
107.7,484.25
107.7,484.25,645.75,753.25
645.75,753.25
0
484.25
484.25,605.75
605.75,848.0
323.1
91.3
182.1,546.25,728.5
182.1,728.5
0
