488.0
488.0,651.0
651.0
325.4
0
544.2,604.83,635.0,680.33
604.83,635.0,680.33
0
0
544.2,612.0,652.8,699.3
612.0,652.8,699.3
0
0
527.8,603.5,768.0
603.5,768.0
324.9
514.4
514.4,561.0,685.5,771.17
685.5,771.17
0
499.17
499.17,559.0,599.0,639.0
599.0,639.0
0
