495.7
165.2,495.7,605.9,727.0
165.2,605.9,727.0
1652.75
114.8
114.8,172.0,573.5,688.75
172.0,688.75,1032.5
1032.5
103.4,516.4
103.4,516.4,645.75,775.5
645.75,775.5,1034.0
1034.0
0
154.1,540.0,719.25
154.1,719.25,809.25
1618.75
0
134.6,605.5,672.5
605.5,672.5,806.75
1613.5
