469.3,502.9
469.3,502.9,670.3,737.5
670.3,737.5,1006.0
1006.0
443.5
443.5,620.8,689.8
620.8,689.8,931.12
931.12,1550.75
0
137.8,550.12,687.5
687.5
412.38,1374.62
0
606.5,649.7,758.38
606.5,649.7,758.38
363.9,1364.5
507.5
507.5,546.6,624.7,780.75
624.7,780.75,819.88
0
0
606.5,649.88
606.5,649.88,866.12,909.5
303.2,909.5
