83.0
553.75,664.75
664.75,830.33,996.0
996.0
0
590.5,620.11,697.62
590.5,620.11,697.62,853.0
1550.75
0
166.11,553.75,664.78
166.11,664.78,886.44
886.44,1662.25
0
542.0,677.5,774.33
677.5,774.33,813.0
1626.5
