479.0
479.0,559.0,639.0,718.8
639.0,718.8
359.5
504.0
504.0,554.3,604.9,756.1
604.9,756.1
302.5
0
581.5,603.9
268.3,603.9
268.3,402.4,1207.4
518.2
518.2,575.9,691.1
691.1
345.5,431.9
447.0
447.0,536.5,558.9,670.9
223.7,670.9
223.7
