504.2
504.2,605.12,756.25
275.2,605.12,756.25,864.38
275.2
0
602.0,752.62
214.9,602.0,752.62
376.2,429.88
0
577.88,693.38,770.62
693.38,770.62,867.0
346.8
0
605.12,691.5
605.12,691.5,807.25
358.5,403.5
519.88
519.88,693.25
693.25,970.5
303.2,346.4,970.5
