0
569.4
813.0,1139.0
1139.0,1301.5,1464.5
0
551.2,661.1
661.1,992.0,1157.8
992.0,1157.8,1488.5
0
553.4,664.4,738.17
664.4,738.17,1108.5
1108.5,1329.2
