0
555.6,666.8
222.2,666.8,926.0
222.2,416.6,926.0
446.6
446.6,549.7,686.88
686.88,893.0
412.38,893.0
0
534.3,623.0,712.38
267.0,623.0,712.38
267.0,415.5
458.0
458.0,549.75,686.88
686.88,915.5
305.2,915.5
0
606.62,707.75,772.0
606.62,707.75,772.0
303.2,404.5
