499.2
166.2,499.2,582.11,665.5
166.2,665.5,831.2
0
99.56
99.56,597.78
199.5,597.78,796.33
398.9
97.44
585.22,780.9
780.9
325.22,390.2,1559.89
0
552.89,663.89,774.3
248.78,663.89,774.3,884.89
248.78,884.89
